number,name,zone,manu,description,time,maps,image
1,จางล่าเมี่ยน Zhanglamian,A,"จางล่าเมี่ยน Zhanglamian, โปรนิสิตเมนูข้าวซอยข้นคนจางไก",จางล่าเมี่ยน Zhānglàmiàn หรือ บะหมี่รสเผ็ดตระกูลจาง เส้นเหนียวนุ่ม ทานคู่กับซอสรสเผ็ด  บวกกับกลิ่นหอม ๆ จากพริกล่าเจียวโหย่ว (Làjiāo yóu) ที่ช่วยชูรสชาติให้อาหารจานนี้โดดเด่นยิ่งขึ้น หรือซุปเนื้อตุ๋นหมูตุ๋นรสต้นตำรับสูตรคุณย่าแท้ ๆ ก็น่าลองไม่แพ้กัน เปิดให้บริการทุกวัน 10:00 - 22:00,https://maps.app.goo.gl/UpGq5mp5bpRSi4q69,https://drive.google.com/open?id=1h6-IZ1PoO0akY8l7V66AxjXBJmPQ9aTP
2,หลงหลูเว่ย,A,"หลูเว่ย",หลงหลูเว่ย (龍滷味) TaiwanStreetFood มีของตุ๋น ของสด ผัก เส้น หลากหลายให้เลือกได้ตามใจชอบ น้ำซุปหอมสมุนไพร รสชาติกลมกล่อม ดีต่อสุขภาพ เสิร์ฟพร้อมกับน้ำจิ้มรสเด็ด ,เปิดให้บริการทุกวัน 11:00 - 21:00,https://maps.app.goo.gl/LGzE6cKype7kCXpp8,https://drive.google.com/open?id=10wxgBIq9cv9E4ll3fdYPVzF_uAHU1rjT,,,,,,,,,,,,,,,,
3,ข้าวมันไก่เจ๊ปุ๋ย,B,ข้าวมันไก่ต้ม,"เปิดมากกว่า 40 ปี ทำสดใหม่ทุกวัน ไก่ต้มนื้อนุ่มไม่แห้ง ไม่ใส่ผงชูรส ทานคู่กับข้าวมันหอม ๆ  และน้ำจิ้มที่ใช้พริกสดขิงสดรสชาติสดใหม่ 
",เปิดให้บริการทุกวัน 7:00-23:00 ,https://maps.app.goo.gl/k6TER2FrXC6Pa7Qo8,https://drive.google.com/open?id=1xJv4_O0rQBzVGrYwLZN6wC2IVHE3j5xu,,,,,,,,,,,,,,,,
4,เจ๊นงค์นักชงมืออาชีพ,B,ชาไทยปังกรอบวิปครีม,ร้านของหวานที่รวมเมนูอาหาร เครื่องดื่ม และ ขนมปัง อิ่มครบจบที่ร้านเจ๊นงค์นักชงมืออาชีพ น้ำหวานชงด้วยใจ และประสบการณ์ชงอันโชกโชน ของหวานอร่อยทุกเมนูกินคู่กับน้ำหวาน น้ำตาลคูณสอง พลังคูณสิบ,"วันจันทร์ - วันเสาร์ 7:00 - 22:30, วันอาทิตย์ 7:00 - 16:00",https://maps.app.goo.gl/ak6677ESgWfrihzs7,https://drive.google.com/open?id=13TxRXtlmAkfWZxvyyOb_BzG9NTFgy9M3,,,,,,,,,,,,,,,,
5,เจ๊ฝนคั่วไก่,B,"ก๋วยเตี๋ยวคั่วไก่, คั่วไก่ทาโร่ ","เปิดมากว่า 30 ปี ก๋วยเตี๋ยวคั่วไก่หอมกลิ่นกระทะ รสชาติเข้มข้น เส้นเหนียวนุ่มพอดี ไก่ไม่แห้ง และก๋วยเตี๋ยวคั่วไก่ยังเสิร์ฟมาพร้อมกับซุปกระดูกหมูร้อนๆ หอม กลมกล่อม ใครชอบคั่วไก่ขอท้าให้ลองเจ๊ฝนคั่วไก่
",เปิดให้บริการทุกวัน 10:00 - 21:30,https://maps.app.goo.gl/K26YSWpCwR5Wt6XW6,https://drive.google.com/file/d/189uAAsFdLXNPv3Ja-TFB4L54w6UPSezY/view?usp=drive_link,,,,,,,,,,,,,,,,
6,"
เจ๊วรรณ
",B,"เต้าฮวยนมสด, บัวลอยน้ำขิง, นมสดเฉาก๊วยโรยผงไมโล
",เปิดมานานกว่า 30 ปี น้ำเต้าหู้ใช้ถั่วเหลืองซีก 100 เปอร์เซ็นต์ ไม่ผสมนมผง ไม่ผสมถั่วลิสง  รสชาติถั่วเหลืองแท้ๆ อร่อยชัวร์แบบ authentic ดีต่อสุขภาพ ใครมาถึงบรรทัดทองต้องลองเจ๊วรรณ,15:00 - 23:00 (หยุดวันอาทิตย์),https://maps.app.goo.gl/jPjx5JmZwwbQX93C6,https://drive.google.com/open?id=1hpkZD6I6FoIVQtdJaKIS8n50Gl245AIw,,,,,,,,,,,,,,,,
7,พาสต้าจุฬา ,B,"พาสต้าผัดกระเทียมพริกแห้ง,พาสต้าครีมเพสโต้ใส่กุ้ง
","มีพาสต้าหลากหลายเอาใจคนชอบเส้นสไตล์ฝรั่ง ซอสครีมนัวๆ ซอสมะเขือเทศกลมกล่อม หรือแบบผัดก็เข้มข้น ราคาย่อมเยา ให้เยอะ อร่อย รสชาติถูกปากคนไทย
",เปิดให้บริการทุกวัน 17:00 - 22:00,https://maps.app.goo.gl/VtjnqaB6WQ615WB36,https://drive.google.com/file/d/1FJO0OLOe9N4bPLs-n8YlRoEXj6g0dmhp/view?usp=drive_link,,,,,,,,,,,,,,,,
8,"ริมสวน (โต๊ะส้ม)
",B,"ข้าวผัดกุ้ง
",โต๊ะส้มโดดเด่น แต่อาจไม่เท่ากับอาหารที่เมนูหลากหลาย รสชาติอร่อย ครั้งหนึ่งในชีวิตเด็กจุฬาต้องไม่พลาดลองเช็กอินโต๊ะส้มสักครั้ง,เปิดให้บริการทุกวัน 16:30 - 1:00,https://maps.app.goo.gl/hPcq2NGxFoCC5R8Y6,https://drive.google.com/open?id=1Jp2MrzVsmhYa3LGD7sCaEAkitruoeq0m,,,,,,,,,,,,,,,,
9,ส้มตำสามสาวมิดไนท์,B,ตำป่า,ร้านตั้งอยู่ตรงหัวมุมตึกเก่า มีป้ายร้านสีส้มเด่นชัด ส้มตำรสแซ่บ เมนูย่างรสเริ่ด เมนูยำรสเด็ด หากได้ลองครบก็จะได้ทั้งแซ่บ เริ่ด เด็ด ครบทุกรสในราคาจับต้องได้,เปิดให้บริการทุกวัน 14:00 - 23:00,https://maps.app.goo.gl/P6RHT5x44HjT9a7p8,https://drive.google.com/open?id=1vfzr25xK3m1TWUue4MDPTWdtIDoFtIvp,,,,,,,,,,,,,,,,
10,ส้มส้ม เกาเหลาหมูตุ๋นยาจีน,B,"ก๋วยจั๊บน้ำใส, เกาเหลาหมูตุ๋น
","ร้านเก่าแก่ เกาเหลาหมูตุ๋นยาจีนหอมเครื่องยาจีนเตะจมูก รสชาติเข้มข้น ซดคล่องคอ เนื้อหมูตุ๋นจนเปื่อย หรือจะเป็นสายน้ำใสก็อร่อยไม่แพ้กัน ซุปหอม ๆ รสชาติกลมกล่อม ซดคล่องคอไม่แพ้ยาจีน
","7:00 – 12:30, 16:00 – 22:00 (หยุดทุกวันอาทิตย์)",https://maps.app.goo.gl/fF63QNPu3oUQVeAG8,https://drive.google.com/file/d/1uC4T0O_K815CcrnUm2BMvzDC_A63vnWG/view?usp=drive_link,,,,,,,,,,,,,,,,
11,"เสน่ห์ลาบก้อย
",B,"เนื้อเสือร้องไห้ย่าง, ต้มแซ่บหมู",สีผนังของร้านที่โดดเด่นสะดุดตาด้วยสีเขียวนีออนสะท้อนแสง และรสเนื้อย่างที่ใครก็บอกว่าเด็ด เนื้อนุ่ม หอมกลิ่นย่าง เบา ๆ อาหารอีสานรสชาติต้นตำรับ เข้มข้น นัว หาใครทำเหมือนไม่ได้,เปิดให้บริการทุกวัน 16:00 - 23:00,https://maps.app.goo.gl/atFrPSCfqe1Meadx6,https://drive.google.com/open?id=1P9NGxIhPVb2K7mNATPFXtPJC_q9A1M3A,,,,,,,,,,,,,,,,
